date,actual,predicted,naive
2022-03-20,1975.56,1962.1168,1965.07
2022-03-21,1982.87,1951.8456,1975.56
2022-03-22,2003.83,1944.8794,1982.87
2022-03-23,2025.28,1937.1254,2003.83
2022-03-24,2032.82,1930.2148,2025.28
2022-03-27,2080.43,1923.1781,2032.82
2022-03-28,2075.4,1916.8176,2080.43
2022-03-29,2078.53,1910.1947,2075.4
2022-03-30,2061.94,1904.2616,2078.53
2022-03-31,2073.54,1898.0615,2061.94
2022-04-03,2084.28,1892.5114,2073.54
2022-04-04,2082.36,1886.7632,2084.28
2022-04-05,2093.78,1881.559,2082.36
2022-04-06,2119.33,1876.2546,2093.78
2022-04-07,2120.87,1871.3865,2119.33
